service_request_id,service_name,title,description,requested_datetime,status
55689-2025,Brunnen verschmutzt,#55689-2025 Brunnen verschmutzt,"Dehr geehrte Damen und Herren des Baureferats,
Der Brunnen Baubergerstraße Ecke Bunzlauerstr.  ist ohne Funktion und verdreckt. Bitte bringen Sie diesen wieder in Ordnung und setzen in Stand.
vielen Dank! Mit freundlichen Grüßen Florian Wies",2025-06-11T19:13:34+02:00,open
55824-2025,Brunnen beschädigt,#55824-2025 Brunnen beschädigt,Trinkbrunnen defekt,2025-06-13T16:37:49+02:00,open
55839-2025,Licht in ganzer Straße ausgefallen,#55839-2025 Licht in ganzer Straße ausgefallen,"Der Weg zwischen Bahngleisen und Rückseite Studentenwohnheim Studio M2 ist komplett dunkel und dadurch gefährlich.

Zugang über Assado Steakhouse Terrasse.",2025-06-14T01:02:10+02:00,open
56076-2025,Brunnen verschmutzt,#56076-2025 Brunnen verschmutzt,"Der Brunnen ist noch nicht in Betrieb und darin liegen noch Äste und Blätter. Es wäre schön, wenn der Brunnen wieder in Betrieb genommen werden würde, der Brunnen tut in der Stadt schon sehr gut!",2025-06-17T22:11:26+02:00,open
56712-2025,Leuchte ausgefallen,#56712-2025 Leuchte ausgefallen,Auf der Fuß- und Radwegbrücke Isarring ist die Leuchte Nr. 9 aus.,2025-06-28T00:47:13+02:00,open
56956-2025,Leuchte beschädigt,#56956-2025 Leuchte beschädigt,Total schade,2025-07-01T16:08:47+02:00,open
57471-2025,Denkmal verschmutzt,#57471-2025 Denkmal verschmutzt,Stele am Resi-Huber-Platz mit Graffiti beschmiert,2025-07-08T18:48:31+02:00,open
57606-2025,Denkmal verschmutzt,#57606-2025 Denkmal verschmutzt,"Sehr geehrte Damen und Herren,

Das Kriegerdenkmal an der Heilig-Kreuz-Kirche im Stadtteil Giesing ist mindestens seit dem 28. Juni mit Graffiti besprüht.



",2025-07-10T22:04:31+02:00,open
57817-2025,Denkmal verschmutzt,#57817-2025 Denkmal verschmutzt,"Die Friedhofsmauer aus Backstein wurde mit lila Graffiti beschmiert mit den Worten ""FREE MAJA"". ",2025-07-14T15:56:37+02:00,open
58113-2025,Brunnen beschädigt,#58113-2025 Brunnen beschädigt,Am Wasserspielplatz im Westpark ist ein Hydrant undicht. Nummer 38.,2025-07-19T15:37:38+02:00,open
59232-2025,Leuchte ausgefallen,#59232-2025 Leuchte ausgefallen,Kein Licht Beidseitig Kreuzungsbereich ,2025-08-06T01:45:39+02:00,open
59326-2025,Brunnen verschmutzt,#59326-2025 Brunnen verschmutzt,Der Brunnen droht wieder wegen Verstopfung überzulaufen,2025-08-07T10:10:39+02:00,open
